name_of_cate,original_url,Last_page_link,list_page_no
ཁམས་ཁུལ་གསར་འགྱུར།,http://ti.kbcmw.com/html/news/kbnews/,index_263.html,263
རྒྱལ་ནང་གསར་འགྱུར།,http://ti.kbcmw.com/html/news/china/,index_215.html,215
རྒྱལ་སྤྱི་གསར་འགྱུར།,http://ti.kbcmw.com/html/news/gj/,index_32.html,32
ཆེད་བསྒྲིགས་གསར་འགྱུར།,http://ti.kbcmw.com/html/news/zt/,index_3.html,3
ཁམས་ཀྱི་ཁྱབ་ཁོངས།,http://ti.kbcmw.com/html/kangba/gaikuang/,index_1.html,1
རི་ཆུ།,http://ti.kbcmw.com/html/kangba/shanshui/,index_3.html,3
གནའ་ཤུལ།,http://ti.kbcmw.com/html/kangba/lishi/,index_2.html,2
ཁམས་ཀྱི་ཡུལ་སྲོལ།,http://ti.kbcmw.com/html/kangba/xishu/,index_6.html,6
རྒྱན་གོས།,http://ti.kbcmw.com/html/kangba/fushi/,no link last page link,0
རིག་རྩལ།,http://ti.kbcmw.com/html/kangba/wenyi/,index_7.html,7
ཁམས་ཀྱི་འཛུགས་སྐྲུན །,http://ti.kbcmw.com/html/kangba/jianzu/,index_1.html,1
ཁམས་ཀྱི་མི་སྣ།,http://ti.kbcmw.com/html/kangba/renwen/,index_7.html,7
སྒྲུང་རྩོམ།,http://ti.kbcmw.com/html/WenXue/XiaoShuo/,index_3.html,3
ལྷུག་རྩོམ,http://ti.kbcmw.com/html/WenXue/SanWen/,index_32.html,32
སྙན་རྩོམ།,http://ti.kbcmw.com/html/WenXue/ShiGe/,index_87.html,87
སྙན་ཞུ་རྩོམ་རིག།,http://ti.kbcmw.com/html/WenXue/BaoGaoWenXue/,no link last page link,0
ཕུལ་བྱུང་འགྱུར་རྩོམ།,http://ti.kbcmw.com/html/WenXue/WenXuePinLun/,index_1.html,1
དམངས་ཁྲོད་རྩོམ་རིག,http://ti.kbcmw.com/html/WenXue/MinJianWenXue/,index_3.html,3
རིག་རྩལ་དཔྱད་རྩོམ།,http://ti.kbcmw.com/html/WenXue/FanYiJiaZuo/,index_5.html,5
སློབ་མའི་སྦྱངས་རྩོམ།,http://ti.kbcmw.com/html/WenXue/xueshengxizuo/,index_2.html,2
ཁ་མཚར།,http://ti.kbcmw.com/html/WenXue/youmoxiaohua/,index_1.html,1
བསྐལ་པ་ཡ་ཐོག,http://ti.kbcmw.com/html/lishi/YuanGu/,no link last page link,0
མངའ་མཛད་དུས་རབས།,http://ti.kbcmw.com/html/lishi/ShiQi/,no link last page link,0
སྤུ་རྒྱལ་དུས་རབས།,http://ti.kbcmw.com/html/lishi/BenJiaoYuanLiu/,no link last page link,0
ཆོས་ལྡན་རྒྱལ་རབས།,http://ti.kbcmw.com/html/lishi/FoJiaoYuanLiu/,no link last page link,0
བོད་སིལ་བུའི་དུས།,http://ti.kbcmw.com/html/lishi/KangZangLiShi/,no link last page link,0
ས་སྐྱའི་དུས།,http://ti.kbcmw.com/html/lishi/SaJia/,no link last page link,0
ཕག་གྲུའི་དུས།,http://ti.kbcmw.com/html/lishi/PaZhu/,no link last page link,0
གཙང་པའི་དུས།,http://ti.kbcmw.com/html/lishi/ZangBa/,no link last page link,0
དགའ་ལྡན་དུས།,http://ti.kbcmw.com/html/lishi/GaDan/,no link last page link,0
ཀྲུང་ཧྭའི་དུས།,http://ti.kbcmw.com/html/lishi/ZhongHua/,no link last page link,0
ལོ་རྒྱུས་དཔྱད་རྩོམ།,http://ti.kbcmw.com/html/lishi/ShiLun/,index_3.html,3
གེ་སར་འཁྲུངས་ཡུལ།,http://ti.kbcmw.com/html/Gesaer/DanShengDi/,no link last page link,0
གླིང་སྒྲུང་མི་སྣ།,http://ti.kbcmw.com/html/Gesaer/renwu/,index_1.html,1
གེ་སར་གནའ་ཤུལ།,http://ti.kbcmw.com/html/Gesaer/YiZhi/,index_1.html,1
གེ་སར་ཞིབ་འཇུག,http://ti.kbcmw.com/html/Gesaer/XueShuYanJiu/,index_1.html,1
སྒྲུང་ཡིག,http://ti.kbcmw.com/html/Gesaer/ChangBen/,no link last page link,0
སྒྲུང་མཁན།,http://ti.kbcmw.com/html/Gesaer/YiRen/,no link last page link,0
གེ་སར་ཞལ་ཐང་།,http://ti.kbcmw.com/html/Gesaer/QianFuTangKa/,no link last page link,0
གསོ་རིག་ལོ་རྒྱུས།,http://ti.kbcmw.com/html/YiYao/ZangYiYaoLiShi/,no link last page link,0
ཟུར་ལུགས་བོད་སྨན།,http://ti.kbcmw.com/html/YiYao/NanPai/,no link last page link,0
གསོ་རིག་མཁས་དབང་།,http://ti.kbcmw.com/html/YiYao/MingYi/,no link last page link,0
གསོ་རིག་དཔྱད་རྩོམ།,http://ti.kbcmw.com/html/YiYao/YanJiu/,no link last page link,0
རྒྱུུན་མཁོའི་བོད་སྨན།,http://ti.kbcmw.com/html/YiYao/CangYongZangYao/,no link last page link,0
སྨན་ཁང་ངོ་སྤྲོད།,http://ti.kbcmw.com/html/YiYao/YiYuan/,no link last page link,0
འཕྲོད་བསྟེན་རྒྱུན་ཤེས།,http://ti.kbcmw.com/html/YiYao/WeiSheng/,no link last page link,0
ལོ་རྒྱུས་མི་སྣ།,http://ti.kbcmw.com/html/RenWu/LiShiRenWu/,index_1.html,1
དེང་རབས་མི་སྣ།,http://ti.kbcmw.com/html/RenWu/XianDai/,index_3.html,3
གསར་འགྱུར་མི་སྣ།,http://ti.kbcmw.com/html/RenWu/XinWen/,no link last page link,0
ཚན་རིག་པ་གྲགས་ཅན།,http://ti.kbcmw.com/html/RenWu/ChuanQi/,no link last page link,0
ཚོང་དཔོན་གྲགས་ཅན།,http://ti.kbcmw.com/html/RenWu/ShangJia/,no link last page link,0
སློབ་གསོ།,http://ti.kbcmw.com/html/jiaoyu/,index_2.html,2
བོད་ཀྱི་གནས་རི།,http://ti.kbcmw.com/html/lvyou/ShengShanShengShui/,index_1.html,1
བོད་ཀྱི་གཙང་པོ།,http://ti.kbcmw.com/html/lvyou/MinShanDaChuan/,no link last page link,0
