name_of_cate,original_url,Last_page_link,list_page_no
ས་གནས་གསར་འགྱུར།,http://www.shangri-latibet.cn/node_5112.html,"<a href=""http://www.shangri-latibet.cn/node_5112_150.html"">150</a>",150
རྒྱལ་ཕྱི་ནང་གསར་འགྱུར།,http://www.shangri-latibet.cn/node_5113.html,"<a href=""http://www.shangri-latibet.cn/node_5113_29.html"">29</a>",29
བོད་ཁུལ་གསར་འགྱུར།,http://www.shangri-latibet.cn/node_5114.html,"<a href=""http://www.shangri-latibet.cn/node_5114_74.html"">74</a>",74
ཏང་གི་ཚོགས་ཆེན་བཅོ་བརྒྱད་པ།,http://www.shangri-latibet.cn/node_5115.html,"<a href=""http://www.shangri-latibet.cn/node_5115_2.html"">2</a>",2
ཚོགས་ཆེན་གཉིས།,http://www.shangri-latibet.cn/node_5116.html,"<a href=""http://www.shangri-latibet.cn/node_5116_2.html"">2</a>",2
གལ་ཆེའི་མཛད་སྒོ།,http://www.shangri-latibet.cn/node_5117.html,"<a href=""http://www.shangri-latibet.cn/node_5117_2.html"">2</a>",2
དཔལ་འབྱོར་འགྱུར་སྟངས།,http://www.shangri-latibet.cn/node_5119.html,"<a href=""http://www.shangri-latibet.cn/node_5119_4.html"">4</a>",4
མ་རྩའི་འདེབས་ཕྱོགས།,http://www.shangri-latibet.cn/node_5120.html,"<a href=""http://www.shangri-latibet.cn/node_5120_2.html"">2</a>",2
ཁྱིམ་ཇུས་ནོར་གཉེར།,http://www.shangri-latibet.cn/node_5121.html,"<a href=""http://www.shangri-latibet.cn/node_5121_2.html"">2</a>",2
འབྱོར་ཕྱུག་གཏམ་རྒྱུད།,http://www.shangri-latibet.cn/node_5122.html,"<a href=""http://www.shangri-latibet.cn/node_5122_3.html"">3</a>",3
སློབ་གསོ།,http://www.shangri-latibet.cn/node_5123.html,"<a href=""http://www.shangri-latibet.cn/node_5123_12.html"">12</a>",12
རྩོམ་རིག,http://www.shangri-latibet.cn/node_5124.html,"<a href=""http://www.shangri-latibet.cn/node_5124_6.html"">6</a>",6
ལོ་རྒྱུས།,http://www.shangri-latibet.cn/node_5125.html,"<a href=""http://www.shangri-latibet.cn/node_5125_6.html"">6</a>",6
གསོ་རིག,http://www.shangri-latibet.cn/node_5126.html,"<a href=""http://www.shangri-latibet.cn/node_5126_25.html"">25</a>",25
དཔེ་གཟིགས།,http://www.shangri-latibet.cn/node_5127.html,"<a href=""http://www.shangri-latibet.cn/node_5127_2.html"">2</a>",2
མི་རིགས་སྲིད་ཇུས།,http://www.shangri-latibet.cn/node_5148.html,no link last page link,1
ཆོས་ལུགས་སྲིད་ཇུས།,http://www.shangri-latibet.cn/node_5149.html,no link last page link,1
ཆོས་ལུགས་རིག་གནས།,http://www.shangri-latibet.cn/node_5150.html,"<a href=""http://www.shangri-latibet.cn/node_5150_2.html"">2</a>",2
དགོན་སྡེ་ངོ་སྤྲོད།,http://www.shangri-latibet.cn/node_5151.html,"<a href=""http://www.shangri-latibet.cn/node_5151_2.html"">2</a>",2
སྲོལ་རྒྱུན་དུས་སྟོན།,http://www.shangri-latibet.cn/node_5152.html,"<a href=""http://www.shangri-latibet.cn/node_5152_4.html"">4</a>",4
ཡུལ་སྲོལ་གོམས་གཤིས།,http://www.shangri-latibet.cn/node_5153.html,"<a href=""http://www.shangri-latibet.cn/node_5153_11.html"">11</a>",11
མི་རིགས་ཀྱི་ད་ཚུལ།,http://www.shangri-latibet.cn/node_5154.html,no link last page link,1
ཆོས་ལུགས་ཀྱི་ད་ཚུལ།,http://www.shangri-latibet.cn/node_5155.html,no link last page link,1
གནས་ཁམས་ཆེན།,http://www.shangri-latibet.cn/node_5156.html,"<a href=""http://www.shangri-latibet.cn/node_5156_5.html"">5</a>",5
གནས་སྐོར་མཛེས་ལྗོངས།,http://www.shangri-latibet.cn/node_5157.html,"<a href=""http://www.shangri-latibet.cn/node_5157_6.html"">6</a>",6
སྐྱེ་ཁམས་སྲུང་སྐྱོང་།,http://www.shangri-latibet.cn/node_5158.html,"<a href=""http://www.shangri-latibet.cn/node_5158_10.html"">10</a>",10
ཡུལ་སྐོར་འགྱུར་སྟངས།,http://www.shangri-latibet.cn/node_5159.html,no link last page link,1
བརྙན་གཟུགས་ཟློས་གར།,http://www.shangri-latibet.cn/node_5160.html,"<a href=""http://www.shangri-latibet.cn/node_5160_5.html"">5</a>",5
སྙན་དབྱངས་འགྱུར་ཁུག,http://www.shangri-latibet.cn/node_5161.html,"<a href=""http://www.shangri-latibet.cn/node_5161_6.html"">6</a>",6
རོལ་རྩེད།,http://www.shangri-latibet.cn/node_5162.html,"<a href=""http://www.shangri-latibet.cn/node_5162_2.html"">2</a>",2
ཆེད་སྒྲིག,http://www.shangri-latibet.cn/node_5163.html,no link last page link,1
རང་བྱུང་གི་མཛེས་ལྗོངས།,http://www.shangri-latibet.cn/node_5164.html,"<a href=""http://www.shangri-latibet.cn/node_5164_2.html"">2</a>",2
མི་རིགས་ཀྱི་གོམས་གཤིས།,http://www.shangri-latibet.cn/node_5165.html,no link last page link,1
