original_url,name_of_cate,Last_page_link,list_page_no
http://www.tbmgar.com/lcqwbw.asp?id=282#ndbwNdCam,འཛམ་གླིང་གསར་འགྱུར།,1/51,51
http://www.tbmgar.com/lcqwbw.asp?id=283#ndbwNdCam,རྒྱལ་ནང་གསར་འགྱུར།,1/44,44
http://www.tbmgar.com/lcqwbw.asp?id=284#ndbwNdCam,བོད་ནང་གསར་འགྱུར།,1/49,49
http://www.tbmgar.com/lcqwbw.asp?id=327#ndbwNdCam,བཅའ་ཁྲིམས་ཤེས་བྱ།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=328#ndbwNdCam,འཕྲོད་བསྟེན། འཛེམ་བྱ།,1/4,4
http://www.tbmgar.com/lcqwbw.asp?id=329#ndbwNdCam,ཁོར་ཡུག་སྲུང་སྐྱོབ།,1/3,3
http://www.tbmgar.com/lcqwbw.asp?id=285#ndbwNdCam,དེབ་གསར་འོས་སྦྱོར།,1/11,11
http://www.tbmgar.com/lcqwbw.asp?id=330#ndbwNdCam,ངེད་དྲ་བ།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=353#ndbwNdCam,སྤྱི་ཚོགས་གླེང་བརྗོད།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=367#ndbwNdCam,ནང་བསྟན། ལོ་རྒྱུས།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=368#ndbwNdCam,རྩོམ་རིག ཉེར་མཁོ།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=369#ndbwNdCam,བརྡ་སྤྲོད།  རྒྱུན་ཤེས།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=342#ndbwNdCam,འཛམ་གླིང་ཆོས་ལུགས།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=343#ndbwNdCam,ནང་བསྟན་གྲུབ་མཐའ།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=344#ndbwNdCam,རྒྱུན་ཤེས།  ཆོས་སྤྱོད།,1/6,6
http://www.tbmgar.com/lcqwbw.asp?id=345#ndbwNdCam,དགོན་སྡེ་ངོ་སྤྲོད།,1/4,4
http://www.tbmgar.com/lcqwbw.asp?id=373#ndbwNdCam,དགོན་སྡེའི་གསར་འགྱུར།,1/4,4
http://www.tbmgar.com/lcqwbw.asp?id=374#ndbwNdCam,དུས་ཆེན་ངོ་སྤྲོད།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=286#ndbwNdCam,སྙན་རྩོམ།,1/53,53
http://www.tbmgar.com/lcqwbw.asp?id=287#ndbwNdCam,དཔྱད་རྩོམ།,1/11,11
http://www.tbmgar.com/lcqwbw.asp?id=288#ndbwNdCam,འབོལ་རྩོམ།,1/14,14
http://www.tbmgar.com/lcqwbw.asp?id=289#ndbwNdCam,རང་མོས།,1/29,29
http://www.tbmgar.com/lcqwbw.asp?id=325#ndbwNdCam,བསྒྱུར་རྩོམ།,1/9,9
http://www.tbmgar.com/lcqwbw.asp?id=326#ndbwNdCam,ལེགས་བཤད།,1/6,6
http://www.tbmgar.com/lcqwbw.asp?id=335#ndbwNdCam,ལྷུག་རྩོམ།,1/11,11
http://www.tbmgar.com/lcqwbw.asp?id=339#ndbwNdCam,ཁཱ་ཤེས་རབ་རྒྱ་མཚོ།,1/12,12
http://www.tbmgar.com/lcqwbw.asp?id=378#ndbwNdCam,བདམས་བཀོད་རྩོམ་ཡིག,1/13,13
http://www.tbmgar.com/lcqwbw.asp?id=294#ndbwNdCam,འཛམ་གླིང་ལོ་རྒྱུས།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=302#ndbwNdCam,བོད་ཀྱི་རྒྱལ་རབས།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=303#ndbwNdCam,སྤྱི་ཚོགས་ལོ་རྒྱུས།,no link last page link,1
http://www.tbmgar.com/lcqwbw.asp?id=333#ndbwNdCam,ཡུལ་སྐོར་ཟིན་ཐོ་དང་བཏུས་རྩོམ།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=295#ndbwNdCam,རུས་རྒྱུད་སྣ་ཚོགས་བྱུང་རིམ།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=296#ndbwNdCam,རུས་མགར་གྱི་བྱུང་བ་སྣ་ཚོགས།,1/5,5
http://www.tbmgar.com/lcqwbw.asp?id=304#ndbwNdCam,རུས་མགར་ཚང་གི་བྱ་བཞག,1/3,3
http://www.tbmgar.com/lcqwbw.asp?id=297#ndbwNdCam,གླེང་སྟེགས་བཅར་འདྲི།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=298#ndbwNdCam,ཡུལ་སྲོལ་དང་རྒྱུན་ཤེས།,1/4,4
http://www.tbmgar.com/lcqwbw.asp?id=306#ndbwNdCam,གནའ་གཏམ་དང་སྒྲུང་།,1/3,3
http://www.tbmgar.com/lcqwbw.asp?id=307#ndbwNdCam,གཏམ་དཔེ།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=366#ndbwNdCam,བརྡ་སྦྱོར་གླིང་།,1/4,4
http://www.tbmgar.com/lcqwbw.asp?id=370#ndbwNdCam,ཚོགས་པ་ངོ་སྤྲོད།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=299#ndbwNdCam,བཀའ་སློབ་བརྙན་བསྡུས།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=308#ndbwNdCam,རི་མོ།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=309#ndbwNdCam,གཞས་ར་ཁྲ་མོ།,1/7,7
http://www.tbmgar.com/lcqwbw.asp?id=310#ndbwNdCam,གློག་བརྙན།,1/3,3
http://www.tbmgar.com/lcqwbw.asp?id=332#ndbwNdCam,སྒྱུ་རྩལ་དང་རྒྱུན་ཤེས།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=348#ndbwNdCam,སྤྱི་ཚོགས་གཏམ་བཤད།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=349#ndbwNdCam,རིག་དངོས་སྡེ་ཁག་འོས་སྦྱོར།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=350#ndbwNdCam,སྒྱུ་རྩལ་པ་འོས་སྦྱོར།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=371#ndbwNdCam,དགོང་ཚོགས། འོད་སྡེར་གསར་བ།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=379#ndbwNdCam,གླུ་དབྱངས།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=380#ndbwNdCam,དཔེ་ཁྲིད།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=381#ndbwNdCam,དམངས་གླུ།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=383#ndbwNdCam,སྒྲ་བརྙན་རྡུང་ལེན།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=311#ndbwNdCam,དཔལ་འབྱོར་རིག་པ།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=312#ndbwNdCam,ཐོན་རྫས་གསར་བ་འོས་སྦྱོར།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=346#ndbwNdCam,ཚོང་ལས་འོས་སྦྱོར།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=313#ndbwNdCam,འཛམ་གླིང་མཁས་དབང་།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=315#ndbwNdCam,སློབ་གསོ་སྨྲ་བའི་སྡེ།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=316#ndbwNdCam,མགར་གྱི་མི་སྣ།,1/1,1
http://www.tbmgar.com/lcqwbw.asp?id=334#ndbwNdCam,སྔོན་བྱོན་སྐྱེས་ཆེན།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=355#ndbwNdCam,ཤེས་ཡོན་པའི་སྡེ།,1/2,2
http://www.tbmgar.com/lcqwbw.asp?id=356#ndbwNdCam,རིག་པ་སྨྲ་བའི་སྡེ།,1/2,2
