original_url,name_of_cate
http://xizang.news.cn/,མ་ཤོག
http://xizang.news.cn/xinwenzhongxin/index.htm,གསར་འགྱུར།
http://xizang.news.cn/shizhengfalv/index.htm,སྲིད་དོན།
http://xizang.news.cn/yuanzang/index.htm,བོད་སྐྱོར།
http://xizang.news.cn/zangyiyao/index.htm,གསོ་རིག
http://xizang.news.cn/yinshipinzhongxin/index.htm,བརྙན་པར།
http://xizang.news.cn/shehuiminsheng/index.htm,དམངས་འཚོ།
http://xizang.news.cn/lvyouhuanbao/index.htm,ཡུལ་སྐོར།
http://xizang.news.cn/wenhuayishu/index.htm,རིག་གནས།
http://xizang.news.cn/jiaoyukeji/index.htm,སློབ་གསོ།
