name_of_cate,original_url,Last_page_link,list_page_no
རྒྱལ་སྤྱི་གསར་འགྱུར།,https://ti.zangdiyg.com/category/index/id/134.html,"<a class=""end"" href=""/category/index/id/134/p/76.html"">76</a>",76
རྒྱལ་ནང་གསར་འགྱུར།,https://ti.zangdiyg.com/category/index/id/135.html,"<a class=""end"" href=""/category/index/id/135/p/198.html"">198</a>",198
སི་ཁྲོན་གསར་འགྱུར།,https://ti.zangdiyg.com/category/index/id/151.html,"<a class=""end"" href=""/category/index/id/151/p/213.html"">213</a>",213
བོད་འབྲེལ་ས་ཁུལ།,https://ti.zangdiyg.com/category/index/id/152.html,"<a class=""end"" href=""/category/index/id/152/p/185.html"">185</a>",185
སྒྲུང་གཏམ།,https://ti.zangdiyg.com/category/index/id/91.html,"<a class=""num"" href=""/category/index/id/91/p/4.html"">4</a>",4
ལྷུག་རྩོམ།,https://ti.zangdiyg.com/category/index/id/92.html,"<a class=""num"" href=""/category/index/id/92/p/10.html"">10</a>",10
སྙན་རྩོམ།,https://ti.zangdiyg.com/category/index/id/93.html,"<a class=""end"" href=""/category/index/id/93/p/18.html"">18</a>",18
བསྒྱུར་རྩོམ།,https://ti.zangdiyg.com/category/index/id/94.html,"<a class=""num"" href=""/category/index/id/94/p/4.html"">4</a>",4
དཔྱད་རྩོམ།,https://ti.zangdiyg.com/category/index/id/237.html,"<a class=""num"" href=""/category/index/id/237/p/7.html"">7</a>",7
ལག་རྩལ།,https://ti.zangdiyg.com/category/index/id/61.html,"<a class=""num"" href=""/category/index/id/61/p/5.html"">5</a>",5
རི་མོ།,https://ti.zangdiyg.com/category/index/id/63.html,"<a class=""num"" href=""/category/index/id/63/p/4.html"">4</a>",4
ཡིག་གཟུགས།,https://ti.zangdiyg.com/category/index/id/64.html,"<a class=""num"" href=""/category/index/id/64/p/3.html"">3</a>",3
སྒྱུ་རྩལ་ཞིབ་འཇུག,https://ti.zangdiyg.com/category/index/id/75.html,"<a class=""num"" href=""/category/index/id/75/p/6.html"">6</a>",6
དམངས་རྩོམ།,https://ti.zangdiyg.com/category/index/id/70.html,"<a class=""num"" href=""/category/index/id/70/p/6.html"">6</a>",6
དུས་ཆེན།,https://ti.zangdiyg.com/category/index/id/72.html,"<a class=""num"" href=""/category/index/id/72/p/6.html"">6</a>",6
གཉེན་སྟོན།,https://ti.zangdiyg.com/category/index/id/154.html,"<a class=""num"" href=""/category/index/id/154/p/3.html"">3</a>",3
གུས་ལུགས།,https://ti.zangdiyg.com/category/index/id/155.html,"<a class=""num"" href=""/category/index/id/155/p/3.html"">3</a>",3
