name_of_cate,original_url,Last_page_link,list_page_no
ཀྲུང་དབྱང་གསར་འགྱུར་མཉམ་བསྒྲགས།,https://tb.kangbatv.com/xw/ysxw/,https://tb.kangbatv.com/xw/ysxw/index_20.html,20
ཁམས་པའི་བརྙན་འཕྲིན་གསར་འགྱུར།,https://tb.kangbatv.com/kbwsxw/,https://tb.kangbatv.com/kbwsxw/index_20.html,20
བོད་ཁུལ་གསར་འགྱུར།,https://tb.kangbatv.com/xw/zqxw/,https://tb.kangbatv.com/xw/zqxw/index_20.html,20
རྒྱལ་སྤྱིའི་གསར་འགྱུར།,https://tb.kangbatv.com/xw/gjxw/,https://tb.kangbatv.com/xw/gjxw/index_20.html,20
རྒྱལ་ནང་གསར་འགྱུར།,https://tb.kangbatv.com/xw/gnxw/,https://tb.kangbatv.com/xw/gnxw/index_20.html,20
ཐད་གཏོང་།,https://tb.kangbatv.com/zb/,no link last page link,1
གློག་བརྙན།,https://tb.kangbatv.com/kbdst/grzt2/zp/,https://tb.kangbatv.com/kbdst/grzt2/zp/index_2.html,2
འཆད་ཁྲིད་སྒྲོན་མེ།,https://tb.kangbatv.com/kbdst/kbjt2/,https://tb.kangbatv.com/kbdst/kbjt2/index_11.html,11
བྱམས་པའི་ཁ་བརྡ།,https://tb.kangbatv.com/kbdst/xblt2/,https://tb.kangbatv.com/kbdst/xblt2/index_10.html,10
ཁམས་པའི་དགའ་ཚལ།,https://tb.kangbatv.com/kbdst/kbhlh2/,https://tb.kangbatv.com/kbdst/kbhlh2/index_20.html,20
དྲི་ཟའི་གླུ་དབྱངས།,https://tb.kangbatv.com/kbdst/zgjq2/,https://tb.kangbatv.com/kbdst/zgjq2/index_10.html,10
དགའ་སྤྲོའི་ཕོ་ཉ།,https://tb.kangbatv.com/kbdst/hlxbk/,https://tb.kangbatv.com/kbdst/hlxbk/index_6.html,6
འཆི་མེད་ཀྱི་གླེང་མོལ།,https://tb.kangbatv.com/kbdst/qmsj2/,https://tb.kangbatv.com/kbdst/qmsj2/index_11.html,11
སྐད་གཉིས་སློབ་ར།,https://tb.kangbatv.com/ysj/klhzy_22717/,https://tb.kangbatv.com/ysj/klhzy_22717/2018-06-19/275050_12.html,12
ཁྲིམས་སྐྱོང་མེ་ལོང་།,https://tb.kangbatv.com/kbdst/fzmj2/,https://tb.kangbatv.com/kbdst/fzmj2/index_10.html,10
གཟའ་མཇུག་གར་སྟེགས།,https://tb.kangbatv.com/kbdst/zmdwt2/,https://tb.kangbatv.com/kbdst/zmdwt2/index_10.html,10
གངས་ཅན་མཐོ་སྒང་།,https://tb.kangbatv.com/kbdst/xygy2/,https://tb.kangbatv.com/kbdst/xygy2/index_10.html,10
