name_of_cate,original_url,Last_page_link,list_page_no
སྲིད་དོན་གསར་འགྱུར།,https://tb.xzxw.com/zw/node_25917.html,"<a href=""https://tb.xzxw.com/zw/node_25917_30.html"">30</a>",30
སྲིད་གཞུང་སྤྱི་བསྒྲགས།,https://tb.xzxw.com/zw/node_25918.html,"<a href=""https://tb.xzxw.com/zw/node_25918_30.html"">30</a>",30
འགོ་ཁྲིད་བྱེད་སྒོ།,https://tb.xzxw.com/zw/node_25919.html,"<a href=""https://tb.xzxw.com/zw/node_25919_30.html"">30</a>",30
སྲིད་གཞུང་ཡིག་ཆ།,https://tb.xzxw.com/zw/node_25920.html,"<a href=""https://tb.xzxw.com/zw/node_25920_30.html"">30</a>",30
སྲིད་ཇུས་གསལ་འགྲེལ།,https://tb.xzxw.com/zw/node_25921.html,"<a href=""https://tb.xzxw.com/zw/node_25921_30.html"">30</a>",30
ཏང་སྲིད་སྒྲིག་གཞི།,https://tb.xzxw.com/zw/node_25922.html,"<a href=""https://tb.xzxw.com/zw/node_25922_17.html"">17</a>",17
མི་དོན་བསྐོ་འཐེན།,https://tb.xzxw.com/zw/node_25923.html,"<a href=""https://tb.xzxw.com/zw/node_25923_17.html"">17</a>",17
རྒྱབ་ཤ་དཀར་པོའི་དེབ།,https://tb.xzxw.com/zw/node_25924.html,"<a href=""https://tb.xzxw.com/zw/node_25924_4.html"">4</a>",4
དམངས་ཕན་སྲིད་ཇུས།,https://tb.xzxw.com/nmtd/node_25926.html,"<a href=""https://tb.xzxw.com/nmtd/node_25926_18.html"">18</a>",18
གྲོང་གསེབ་གསར་པ་འཛུགས་སྐྲུན།,https://tb.xzxw.com/nmtd/node_25927.html,"<a href=""https://tb.xzxw.com/nmtd/node_25927_30.html"">30</a>",30
ཕྱུག་འགྱུར་ལམ་བུ།,https://tb.xzxw.com/nmtd/node_25928.html,"<a href=""https://tb.xzxw.com/nmtd/node_25928_30.html"">30</a>",30
ལས་མིའི་ལྡུམ་རྭ།,https://tb.xzxw.com/nmtd/node_25929.html,"<a href=""https://tb.xzxw.com/nmtd/node_25929_5.html"">5</a>",5
ཞིང་འབྲོག་ཤེས་བྱ།,https://tb.xzxw.com/nmtd/node_25934.html,"<a href=""https://tb.xzxw.com/nmtd/node_25934_7.html"">7</a>",7
ཁྱད་ལྡན་ཐོན་ཟོག,https://tb.xzxw.com/nmtd/node_25935.html,"<a href=""https://tb.xzxw.com/nmtd/node_25935_18.html"">18</a>",18
ཁྲིམས་ལུགས་གསར་འགྱུར།,https://tb.xzxw.com/fz/node_25937.html,"<a href=""https://tb.xzxw.com/fz/node_25937_30.html"">30</a>",30
བརྟན་ལྷིང་གསེར་ཕུབ།,https://tb.xzxw.com/fz/node_25938.html,"<a href=""https://tb.xzxw.com/fz/node_25938_30.html"">30</a>",30
བཅའ་ཁྲིམས་བློ་འདྲི།,https://tb.xzxw.com/fz/node_25939.html,"<a href=""https://tb.xzxw.com/fz/node_25939_17.html"">17</a>",17
ཁྲིམས་དང་སྤྱི་ཚོགས།,https://tb.xzxw.com/fz/node_25942.html,"<a href=""https://tb.xzxw.com/fz/node_25942_30.html"">30</a>",30
ཞི་མཐུན་ས་མཐོ།,https://tb.xzxw.com/fz/node_25943.html,"<a href=""https://tb.xzxw.com/fz/node_25943_30.html"">30</a>",30
བཅའ་ཁྲིམས་རྒྱུན་ཤེས།,https://tb.xzxw.com/fz/node_25944.html,"<a href=""https://tb.xzxw.com/fz/node_25944_30.html"">30</a>",30
ཁྲིམས་སྐྱོང་དོ་རྭ།,https://tb.xzxw.com/fz/node_25945.html,"<a href=""https://tb.xzxw.com/fz/node_25945_30.html"">30</a>",30
སློབ་གསོའི་གསར་འགྱུར།,https://tb.xzxw.com/kjws/node_25952.html,"<a href=""https://tb.xzxw.com/kjws/node_25952_30.html"">30</a>",30
འཕྲོད་བསྟེན་གསར་འགྱུར།,https://tb.xzxw.com/kjws/node_25953.html,"<a href=""https://tb.xzxw.com/kjws/node_25953_30.html"">30</a>",30
ཚན་རྩལ་གསར་འགྱུར།,https://tb.xzxw.com/kjws/node_25954.html,"<a href=""https://tb.xzxw.com/kjws/node_25954_30.html"">30</a>",30
ཚན་རྩལ་ཁྱབ་གདལ།,https://tb.xzxw.com/kjws/node_25955.html,"<a href=""https://tb.xzxw.com/kjws/node_25955_5.html"">5</a>",5
ལུས་ཁམས་འཕྲོད་སྦྱོར།,https://tb.xzxw.com/kjws/node_25960.html,"<a href=""https://tb.xzxw.com/kjws/node_25960_28.html"">28</a>",28
