name_of_cate,original_url,Last_page_link,list_page_no
གསར་འགྱུར།,https://www.tb1025.cn/sj/,/sj/index_2.html,2
ཆོས་འབྱུང་།,https://www.tb1025.cn/lg/qijun/,/lg/qijun/index_16.html,16
བཀའ་འགྱུར།,https://www.tb1025.cn/gj/,/gj/index_7.html,7
བསྟན་འགྱུར།,https://www.tb1025.cn/dj/,/dj/index_6.html,6
ཚད་མ།,https://www.tb1025.cn/dn/canma/,/dn/canma/index_3.html,3
ཕར་ཕྱིན།,https://www.tb1025.cn/dn/paxing/,/dn/paxing/index_11.html,11
དབུ་མ།,https://www.tb1025.cn/dn/huma/,/dn/huma/index_2.html,2
སྔགས།,https://www.tb1025.cn/dn/ne/,/dn/ne/index_2.html,2
ཆོ་ག,https://www.tb1025.cn/qj/qiaoga/,/qj/qiaoga/index_2.html,2
ཞལ་འདོན།,https://www.tb1025.cn/qj/xiaduan/,/qj/xiaduan/index_8.html,8
རྒྱུན་ཤེས་དམར་ཁྲིད།,https://www.tb1025.cn/jx/jxmc/,/jx/jxmc/index_4.html,4
སྤྲུལ་སྐུའི་མིང་མཛོད།,https://www.tb1025.cn/jx/zgmz/,/jx/zgmz/index_6.html,6
སྙན་ངག,https://www.tb1025.cn/sz/nianna/,/sz/nianna/index_2.html,2
ལྷུག་རྩོམ།,https://www.tb1025.cn/sz/lezuan/,/sz/lezuan/index_3.html,3
དཔྱད་རྩོམ།,https://www.tb1025.cn/xj/xiaizuan/,/xj/xiaizuan/index_3.html,3
དཀར་ཆག,https://www.tb1025.cn/xry/gajia/,/xry/gajia/index_11.html,11
རྣམ་ཐར།,https://www.tb1025.cn/jlm/nantai/,/jlm/nantai/index_9.html,9
བསྟོད་ཚོགས།,https://www.tb1025.cn/jlm/duocuo/,/jlm/duocuo/index_2.html,2
གསུང་འབུམ།,https://www.tb1025.cn/jlm/songben/,/jlm/songben/index_6.html,6
གཞན་དག,https://www.tb1025.cn/jlm/xiande1/,/jlm/xiande1/index_2.html,2
རྩོམ་རིག,https://www.tb1025.cn/nacuo/zuanre/,/nacuo/zuanre/index_10.html,10
བསླབ་བྱ།,https://www.tb1025.cn/nacuo/laxia/,/nacuo/laxia/index_3.html,3
གཞན་དག,https://www.tb1025.cn/nacuo/yande3/,/nacuo/yande3/index_2.html,2
བོད་འགྱུར།,https://www.tb1025.cn/luoza/boju/,/luoza/boju/index_2.html,2
བོད་རྒྱ་ཤན་སྦྱོར།,https://www.tb1025.cn/luoza/jwxj/,/luoza/jwxj/index_3.html,3
གནས་རི།,https://www.tb1025.cn/gd/niri/,/gd/niri/index_2.html,2
གཞན་དག,https://www.tb1025.cn/gd/yandou/,/gd/yandou/index_2.html,2
གསེར་ཁྲི།,https://www.tb1025.cn/lg/muna/saichi/,/lg/muna/saichi/index_14.html,14
ཕྱི་དར་བསྟན་འཛིན།,https://www.tb1025.cn/lg/muna/xidaidanz/,/lg/muna/xidaidanz/index_5.html,5
ཡང་དར་བསྟན་འཛིན།,https://www.tb1025.cn/lg/muna/yangdaidanz/,/lg/muna/yangdaidanz/index_4.html,4
གཞན་དག,https://www.tb1025.cn/lg/muna/yandou/,/lg/muna/yandou/index_2.html,2
མཆོད་རྟེན།,https://www.tb1025.cn/lg/qiaodan/,no link last page link,1
མངོན་པ།,https://www.tb1025.cn/dn/maoba/,no link last page link,1
འདུལ་བ།,https://www.tb1025.cn/dn/dewa/,no link last page link,1
གྲུབ་མཐའ།,https://www.tb1025.cn/dn/zhita/,no link last page link,1
བློ་སྦྱོང་།,https://www.tb1025.cn/dn/luojiang/,no link last page link,1
ལམ་རིམ།,https://www.tb1025.cn/dn/lanren/,no link last page link,1
སྒྲུབ་ཐབས།,https://www.tb1025.cn/qj/zhitu/,no link last page link,1
བསྙེན་ཡིག,https://www.tb1025.cn/qj/nianyou/,no link last page link,1
དོགས་ལན་ནག་འགྲོས།,https://www.tb1025.cn/jx/dlnz/,no link last page link,1
གཏམ་རྒྱུད།,https://www.tb1025.cn/sz/saizuan/,no link last page link,1
ཆེད་རྩོམ།,https://www.tb1025.cn/sz/qiaizuan/,no link last page link,1
རྟེན་བཞེངས།,https://www.tb1025.cn/zr/danxiang/,no link last page link,1
བརྟེན་པ།,https://www.tb1025.cn/zr/danba/,no link last page link,1
ཐང་ག,https://www.tb1025.cn/zr/tangga/,no link last page link,1
འདྲ་པར།,https://www.tb1025.cn/zr/zhaba/,no link last page link,1
རི་མོ།,https://www.tb1025.cn/zr/rimu/,no link last page link,1
གཞན་དག,https://www.tb1025.cn/zr/yand/,no link last page link,1
བགྲོ་གླེང་།,https://www.tb1025.cn/xj/zhuolang/,no link last page link,1
གཞན་དག,https://www.tb1025.cn/xj/yandou/,no link last page link,1
གློག་བརྙན།,https://www.tb1025.cn/nianse/lunian/,no link last page link,1
དཔེ་ཁྲིད།,https://www.tb1025.cn/nianse/huichi/,no link last page link,1
དབྱངས།,https://www.tb1025.cn/nianse/yang/,no link last page link,1
ཞལ་འདོན་ཀུན་འདུས།,https://www.tb1025.cn/nianse/xiandgd/,no link last page link,1
དྲ་བའི་གནས་ཚུལ།,https://www.tb1025.cn/zwg/zhaweinici/,no link last page link,1
ཞལ་འདེབས།,https://www.tb1025.cn/zwg/xiaduan/,no link last page link,1
