original_url,name_of_cate,Last_page_link,list_page_no
http://www.teducn.com/cidian/PDF/,PDFགྱི་སྐོར།,སྐད་རིགས།,1
http://www.teducn.com/kechixu/huanbaowenhua/,ཁོར་ཡུག་དང་རིག་གནས།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་9     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/kechixu/huanbaoshehui/,ཁོར་ཡུག་དང་སྤྱི་ཚོགས།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་8     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/kechixu/huanbao/,ཁོར་ཡུག་དང་སློབ་གསོ།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་8     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/chuantongjiaoyu/jiating/,ཁྱིམ་ཚང་སློབ་གསོ།,"ངོས་1/4  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་79     མདུན་ངོས།  上一页下一页尾页བསྒྱུར་ཐོན
:第 1 页第 2 页第 3 页第 4 页",4
http://www.teducn.com/movie/hanwen/,གཞན་དག,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་5     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/chuantongjiaoyu/mingzhudaodu/,གསུང་རབ་བང་མཛོད།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་7     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/download/shuxue/,གྲངས་རིག་གི་སྐོར།,སྐད་རིགས།,1
http://www.teducn.com/movie/gewuhaiyang/,གླུ་གར་གྱི་རྒྱ་མཚོ།,no link last page link,1
http://www.teducn.com/chuantongjiaoyu/zongjiaowenhua/,ཆོས་ལུགས་རིག་གནས།,"ངོས་1/4  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་89     མདུན་ངོས།  上一页下一页尾页བསྒྱུར་ཐོན
:第 1 页第 2 页第 3 页第 4 页",4
http://www.teducn.com/chuantongjiaoyu/siyuanjieshao/,དགོན་སྡེ་མཚམས་སྦྱོར།,"ངོས་1/3  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་75     མདུན་ངོས།  上一页下一页尾页བསྒྱུར་ཐོན
:第 1 页第 2 页第 3 页",3
http://www.teducn.com/download/wuli/,དངོས་ལུགས་ཀྱི་སྐོར།,སྐད་རིགས།,1
http://www.teducn.com/zhuanyeshuyu/wuli/,དངོས་ལུགས།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་5     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/movie/yingyu/,དབྱིན་ཡིག་གི་སྐོར།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 20 སྡོམ་10     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/renwu/xiandairenwu/,དེང་རབས་གྲགས་ཅན།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་2     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/chuantongjiaoyu/fojiaopaibie/,ནང་བའི་གྲུབ་མཐའ།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་25     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/kecheng/kechengjiaofa/,བསླབ་གཞིའི་ཁྲིད་ཐབས།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་3     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/kecheng/kechengpinggu/,བསླབ་གཞིའི་གདེང་འཇོག,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་1     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/kecheng/jiaochengzhengce/,བསླབ་གཞིའི་སྲིད་ཇུས།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་1     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/kecheng/kechengjiaocai/,བསླབ་གཞིའི་སློབ་དེབ།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་4     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com//qikan/zangzujiaoyu/,བོད་ཀྱི་སློབ་གསོ།,"ངོས་1/7  ངོས་རེར་ནང་དོན་ངོས། 10 སྡོམ་64     མདུན་ངོས།  上一页下一页尾页བསྒྱུར་ཐོན
:第 1 页第 2 页第 3 页第 4 页第 5 页第 6 页第 7 页",7
http://www.teducn.com/xuekejiaoxue/zangwen/,བོད་ཡིག,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་20     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/download/zangwen/,བོད་ཡིག་གི་སྐོར།,སྐད་རིགས།,1
http://www.teducn.com/movie/ertongleyuan/,བྱིས་པའི་རྩེད་ར།,no link last page link,1
http://www.teducn.com/renwu/dashihuicui/,མཁས་བའི་ཁྱུ་མཆོག,"ངོས་1/10  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་235     མདུན་ངོས།  上一页下一页尾页བསྒྱུར་ཐོན
:第 1 页第 2 页第 3 页第 4 页第 5 页第 6 页第 7 页第 8 页第 9 页第 10 页",10
http://www.teducn.com//qikan/qunwentiandi/,མང་ཚོགས་སྒྱུ་རྩལ།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་10     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/fagui/minzuzhengce/,མི་རིགས་སྲིད་ཇུས།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་2     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/shuangyujiaoxue/shuangyulilun/,མིང་བརྡ་གཅིག་གྱུར།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་1     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/lilunyanjiu/yintimei/,རོལ་དབྱངས། ལུས་རྩལ། རི་མོ།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་18     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/zhuanyeshuyu/hanwen/,རྒྱ་ཡིག,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་13     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/download/hanwen/,རྒྱ་ཡིག་གི་སྐོར།,སྐད་རིགས།,1
http://www.teducn.com/download/changyongruanjian/,རྒྱུན་བཀོལ་མཉེན་ཆས།,སྐད་རིགས།,1
http://www.teducn.com/download/jisuanji/,རྩིས་འཁོར་གྱི་སྐོར།,སྐད་རིགས།,1
http://www.teducn.com/xuekejiaoxue/jisuanji/,རྩིས་འཁོར།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་1     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/fagui/difangfagui/,ས་གནས་བཅའ་ཁྲིམས།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་7     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/shuangyujiaoxue/shangyuke/,སྐད་གཉིས་གཞུང་ལུགས།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་1     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/movie/shengwu/,སྐྱེ་དངོས་ཀྱི་སྐོར།,"ངོས་1/1  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་1     མདུན་ངོས།  上一页  下一页  尾页    བསྒྱུར་ཐོན
:第 1 页",1
http://www.teducn.com/zhuanyeshuyu/shengwu/,སྐྱེ་དངོས།,"ངོས་1/2  ངོས་རེར་ནང་དོན་ངོས། 25 སྡོམ་40     མདུན་ངོས།  上一页下一页尾页བསྒྱུར་ཐོན
:第 1 页第 2 页",2
http://www.teducn.com/cidian/ruanjian/,སྙི་ཆས་གྱི་སྐོར།,སྐད་རིགས།,1
