name_of_cate,original_url,Last_page_link,list_page_no
མདུན་ཤོག,https://www.tibetcm.com/,no link last page link,1
འཕྲིན་གསར།,https://www.tibetcm.com/news/,https://www.tibetcm.com/news/index_27.html,27
ལེགས་རྩོམ།,https://www.tibetcm.com/classics/,no link last page link,1
གཞུང་།,https://www.tibetcm.com/classics/gzhung/,no link last page link,1
བསྟོད་ཚོགས།,https://www.tibetcm.com/classics/praise/,https://www.tibetcm.com/classics/praise/index_3.html,3
མགུར་གླུ།,https://www.tibetcm.com/classics/poem-songs/,https://www.tibetcm.com/classics/poem-songs/index_3.html,3
བསླབ་བྱ།,https://www.tibetcm.com/classics/advice/,no link last page link,1
ལེགས་བཤད།,https://www.tibetcm.com/classics/lekshad/,https://www.tibetcm.com/classics/lekshad/index_2.html,2
ཟློས་གར།,https://www.tibetcm.com/classics/script/,no link last page link,1
བསང་ཡིག,https://www.tibetcm.com/classics/sangyik/,no link last page link,1
གནས་ཡིག,https://www.tibetcm.com/classics/nasyik/,no link last page link,1
འབེལ་གཏམ།,https://www.tibetcm.com/classics/beltam/,no link last page link,1
ཆོས་འབྱུང་།,https://www.tibetcm.com/classics/chosbyung/,no link last page link,1
ལོ་རྒྱུས།,https://www.tibetcm.com/classics/histories/,no link last page link,1
གཏེར་མ།,https://www.tibetcm.com/classics/derma/,no link last page link,1
རྣམ་ཐར།,https://www.tibetcm.com/classics/life-stories/,no link last page link,1
འདོན་ཆོག,https://www.tibetcm.com/classics/recite/,no link last page link,1
རྟོགས་བརྗོད།,https://www.tibetcm.com/classics/biography/,no link last page link,1
བཅའ་ཡིག,https://www.tibetcm.com/classics/cayik/,no link last page link,1
ཁྲིམས་སྲོལ།,https://www.tibetcm.com/classics/law/,no link last page link,1
གཏམ་ཚོགས།,https://www.tibetcm.com/classics/lecture/,no link last page link,1
གསོ་དཔྱད།,https://www.tibetcm.com/classics/medical/,no link last page link,1
རྒྱ་འགྱུར།,https://www.tibetcm.com/classics/translate/,no link last page link,1
སྤྲིངས་ཡིག,https://www.tibetcm.com/classics/lerrers/,no link last page link,1
ངག་རྩོམ།,https://www.tibetcm.com/folk/,no link last page link,1
གླིང་སྒྲུང་།,https://www.tibetcm.com/folk/gesar/,no link last page link,1
ལ་གཞས།,https://www.tibetcm.com/folk/love-song/,/folk/love-song/index_2.html,2
དམངས་གཞས།,https://www.tibetcm.com/folk/folk-song/,no link last page link,1
བཤད་པ།,https://www.tibetcm.com/folk/shadpa/,no link last page link,1
གཏམ་རྒྱུད།,https://www.tibetcm.com/folk/story/,no link last page link,1
རོགས་མཐུན།,https://www.tibetcm.com/folk/love/,no link last page link,1
གཏམ་དཔེ།,https://www.tibetcm.com/folk/folk-adage/,/folk/folk-adage/index_2.html,2
ཁ་མཚར།,https://www.tibetcm.com/folk/joke/,/folk/joke/index_2.html,2
གབ་ཚིག,https://www.tibetcm.com/folk/riddle/,no link last page link,1
འདོགས་ར།,https://www.tibetcm.com/folk/dokra/,no link last page link,1
དེང་རྩོམ།,https://www.tibetcm.com/contemporary/,no link last page link,1
བརྩམས་སྒྲུང་།,https://www.tibetcm.com/contemporary/novel/,https://www.tibetcm.com/contemporary/novel/index_18.html,18
རིག་གཞུང་།,https://www.tibetcm.com/contemporary/critical/,https://www.tibetcm.com/contemporary/critical/index_6.html,6
བཅད་རྩོམ།,https://www.tibetcm.com/contemporary/formal-verse/,https://www.tibetcm.com/contemporary/formal-verse/index_46.html,46
ལྷུག་རྩོམ།,https://www.tibetcm.com/contemporary/prose/,https://www.tibetcm.com/contemporary/prose/index_33.html,33
བཅར་འདྲི།,https://www.tibetcm.com/contemporary/interview/,no link last page link,1
གྲོལ་རྩོམ།,https://www.tibetcm.com/contemporary/pfv/,/contemporary/pfv/index_16.html,16
ཤེས་བྱ།,https://www.tibetcm.com/contemporary/knowledge/,/contemporary/knowledge/index_6.html,6
འཁྲབ་གཞུང་།,https://www.tibetcm.com/contemporary/script/,no link last page link,1
འགྱུར་མ།,https://www.tibetcm.com/contemporary/translate/,https://www.tibetcm.com/contemporary/translate/index_14.html,14
ཁ་བརྡ།,https://www.tibetcm.com/contemporary/talk/,no link last page link,1
དྲ་རྩོམ།,https://www.tibetcm.com/contemporary/net-literature/,https://www.tibetcm.com/contemporary/net-literature/index_94.html,94
རྩོམ་དཔྱད།,https://www.tibetcm.com/contemporary/literary-essays/,https://www.tibetcm.com/contemporary/literary-essays/index_9.html,9
སྒྲ་བརྙན།,https://www.tibetcm.com/play/,no link last page link,1
གློག་བརྙན།,https://www.tibetcm.com/play/movie/,no link last page link,1
བརྙན་ཐུང་།,https://www.tibetcm.com/play/video/,no link last page link,1
པར་ལེན།,https://www.tibetcm.com/play/photo/,/play/photo/index_3.html,3
གླུ་གཞས།,https://www.tibetcm.com/play/music/,no link last page link,1
ཟློས་གར།,https://www.tibetcm.com/play/opera/,no link last page link,1
རི་མོ།,https://www.tibetcm.com/play/picture/,no link last page link,1
རྩེད་མོ།,https://www.tibetcm.com/play/game/,no link last page link,1
དཔེ་ཁྲིད།,https://www.tibetcm.com/play/lecture/,no link last page link,1
ཆེད་ཞུས།,https://www.tibetcm.com/specialist/,no link last page link,1
གཅན་མེ་སྟག,https://www.tibetcm.com/specialist/canmedak/,/specialist/canmedak/index_2.html,2
སེང་རྡོར།,https://www.tibetcm.com/specialist/sangdor/,/specialist/sangdor/index_2.html,2
རེ་རྐང་གླིང་།,https://www.tibetcm.com/specialist/regangling/,/specialist/regangling/index_3.html,3
བྱམས་ཕྲུག,https://www.tibetcm.com/specialist/shamphruk/,https://www.tibetcm.com/specialist/shamphruk/index_2.html,2
བདེ་གྲོལ།,https://www.tibetcm.com/specialist/deydrol/,https://www.tibetcm.com/specialist/deydrol/index_6.html,6
མི་ལ་ཙི་ཙི།,https://www.tibetcm.com/specialist/phuntsogsgyal/,no link last page link,1
ཆེད་སྒྲིག,https://www.tibetcm.com/special/,https://www.tibetcm.com/special/index_8.html,8
ཕབ་ལེན།,https://www.tibetcm.com/download/,no link last page link,1
མཉེན་ཆས།,https://www.tibetcm.com/download/software/,no link last page link,1
གློག་དེབ།,https://www.tibetcm.com/download/e-book/,no link last page link,1
གཞན་དག,https://www.tibetcm.com/other/,no link last page link,1
ཡིག་ཚགས།,https://www.tibetcm.com/other/archives/,no link last page link,1
མི་རབས་གསུམ་པ།,https://www.tibetcm.com/other/third-poets/,/other/third-poets/index_3.html,3
མི་རབས་བཞི་བ།,https://www.tibetcm.com/other/fourth-poets/,no link last page link,1
ཚོང་བརྡ།,https://www.tibetcm.com/other/ad/,no link last page link,1
ངེད་ཀྱི་སྐོར།,https://www.tibetcm.com/about/,no link last page link,1
